Treatment,Stream,Riffle,Stone,Stone_Area,Richness,Abundance
Tea,Sangarawa,Med,4,376,2,3
Tea,Sangarawa,Med,5,340,1,1
Tea,Sangarawa,Med,6,344,3,4
Tea,Sangarawa,Med,7,176,2,2
Tea,Sangarawa,High,1,648,7,8
Tea,Sangarawa,High,2,528,4,6
Tea,Sangarawa,High,3,208,2,4
Tea,Sangarawa,High,4,1012,4,5
Tea,Sangarawa,High,5,344,3,5
Tea,Sangarawa,High,6,628,6,10
Tea,Sangarawa,High,7,334,3,6
Tea,Kwankuya,Low,1,992,1,1
Tea,Kwankuya,Low,2,606,1,1
Tea,Kwankuya,Low,3,912,1,1
Tea,Kwankuya,Low,4,378,1,1
Tea,Kwankuya,Low,5,592,1,1
Tea,Kwankuya,Low,6,784,0,0
Tea,Kwankuya,Low,7,450,3,3
Tea,Kwankuya,Med,1,462,0,0
Tea,Kwankuya,Med,2,328,0,0
Tea,Kwankuya,Med,3,190,0,0
Tea,Kwankuya,Med,4,694,2,2
Tea,Kwankuya,Med,5,462,0,0
Tea,Kwankuya,Med,6,608,0,0
Tea,Kwankuya,Med,7,142,0,0
Tea,Kwankuya,High,1,332,2,7
Tea,Kwankuya,High,2,348,1,2
Tea,Kwankuya,High,3,166,3,16
Tea,Kwankuya,High,4,286,2,4
Tea,Kwankuya,High,5,424,2,4
Tea,Kwankuya,High,6,346,1,2
Tea,Kwankuya,High,7,202,2,21
